DATE,MRTSSM4451USS_PCH,MRTSSM4453USS_PCH,MRTSSM44611USS_PCH,MRTSSM44811USS_PCH,MRTSSM451USS_PCH,MRTSSM45291USS_PCH,MRTSSM4541USS_PCH
2019-01-01,1.66788,-0.08576,2.53378,5.06667,2.23507,0.34279,12.64952
2019-02-01,-2.50266,0.15021,0.10983,-6.09137,0.81027,-1.43674,1.18890
2019-03-01,2.11223,0.79280,0.17722,2.56757,0.57628,2.07468,-0.41226
2019-04-01,0.36813,-0.38265,-0.49282,1.31752,2.15621,0.98977,2.03218
2019-05-01,0.28294,-0.06402,0.95242,-1.30039,0.59041,-1.12076,2.61134
2019-06-01,0.75239,1.13175,-0.47381,-1.71278,1.12986,0.48715,1.21493
2019-07-01,1.26536,0.50676,-0.46343,1.87668,-1.55252,0.79917,0.33915
2019-08-01,-0.05463,0.48319,-0.16931,-0.78947,-0.14738,0.14285,0.79281
2019-09-01,-0.73784,-0.39724,0.16535,0.53050,0.70849,-0.58011,-0.27741
2019-10-01,0.09464,-0.46180,1.16402,1.05541,0.33710,0.71502,1.10567
2019-11-01,0.40226,1.18094,-2.09205,-0.26110,-3.11131,0.29442,-1.07791
2019-12-01,0.80642,0.64610,-0.39744,-1.17801,1.04025,0.84517,-0.15315
2020-01-01,-0.56219,0.95258,2.20535,-1.32450,0.85049,0.56577,1.94288
2020-02-01,-0.17935,0.53333,0.22669,0.00000,0.14795,0.31981,0.35454
2020-03-01,28.37905,16.91492,12.19267,-57.18121,-16.64943,13.58464,5.56465
2020-04-01,-13.31938,-7.83595,-11.00575,-75.86207,-33.16200,-11.07902,15.59521
2020-05-01,1.38084,8.86196,-0.79705,79.22078,77.14134,1.65880,6.51753
2020-06-01,-1.88985,0.13915,5.52267,126.81159,28.02395,0.45099,-4.67888
